NOT FUNCTION,,,,,,,,,
,,,,,,,,,
"A company only accepts orders from non-Chinese suppliers if:
The order value is > ¥500,000 AND
The supplier is NOT from China AND",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,S. No,Supplier Country,Order Value,Order Accept? ,,,,
,,1,Japan,"¥10,00,000",Accept ,,,,
,,2,China,"¥51,00,000", Ignore,,,,
,,3,China,"¥20,00,000", Ignore,,,,
,,4,India,"¥4,00,000", Ignore,,,,
,,5,India,"¥5,10,000",Accept ,,,,
,,6,Japan,"¥3,00,000", Ignore,,,,
,,,,,,,,,
,,,,,,,,,
XOR FUNCTION,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Japanese Exam Hall Entry Rule ??????
Scenario:
A student is allowed to enter the exam hall if:
They have a Hall Ticket
OR they have a Temporary Permission Slip",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Hall Ticket,Permission Slip,Allow to Enter,,,,
,,,Yes,No,Allowed ,,,,
,,,No,Yes,Allowed ,,,,
,,,Yes,Yes,Not Allowed,,,,
,,,Yes,No,Allowed ,,,,
,,,No,Yes,Allowed ,,,,
,,,Yes,No,Allowed ,,,,
,,,No,No,Not Allowed,,,,
,,,Yes,Yes,Not Allowed,,,,
,,,Yes,No,Allowed ,,,,
,,,No,Yes,Allowed ,,,,
